source_row,product_code,product_name,brand,category_name,unit,mrp,selling_price,cost_price,margin_percentage,stock_quantity,source_hsn_code,source_gst_percent,source_alias_name,source_generic_name,source_sub_category,source_created_date
490,LEGACY-XLS-72657,ONETOUCH ULTRA TEST STRIP 50S,LIFESCAN MEDICAL DEVICES INDIA PVT LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1355.00,1355.00,1172.89,13.44,0.00,38220019,5.00,ONETOUCH ULTRA TEST STRIP 50S,,ONETOUCH(TAG),15/12/2025
491,LEGACY-XLS-72886,OATS 900KG-SAFFOLA,MARICO LIMITED,VITAMINS & SUPPLEMENTS-HW,1 pack,240.00,240.00,187.20,22.00,1.00,11041200,5.00,OATS 900KG-SAFFOLA,,OTX,26/12/2025
492,LEGACY-XLS-72887,AUTOMATIC DIGITAL BLOOD PRESSURE MONITOR-ACCUSURE AS,MICROGENE DIAGNOSTIC SYSTEMS (P) LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1733.00,1733.00,961.90,44.50,0.00,90189011,5.00,AUTOMATIC DIGITAL BLOOD PRESSURE MONITOR-ACCUSURE AS,,ACCUSURE(TAG),26/12/2025
493,LEGACY-XLS-72889,BLOOD GLUCOSE TEST STRIP 50S-ACCUSURE LIFE,MICROGENE DIAGNOSTIC SYSTEMS (P) LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1078.00,1078.00,437.00,59.46,0.00,38220090,5.00,BLOOD GLUCOSE TEST STRIP 50S-ACCUSURE LIFE,,ACCUSURE(TAG),26/12/2025
494,LEGACY-XLS-72891,DIGITAL WEIGHING SCALE SW 01 500KG,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,3000.00,3000.00,1016.95,66.10,0.00,84231000,18.00,DIGITAL WEIGHING SCALE SW 01 500KG,,OTX,26/12/2025
495,LEGACY-XLS-73016,PRO PL LITE CHOCOLATE 200GM PWD,BRITISH BIOLOGICALS,VITAMINS & SUPPLEMENTS-HW,1 pack,427.00,427.00,325.33,23.81,0.00,21069091,5.00,PRO PL LITE CHOCOLATE 200GM PWD,,BRITISH BIOLOGICALS(TAG),31/12/2025
496,LEGACY-XLS-73071,SAM VITA-POCT,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,0.00,0.00,0.00,0.00,0.00,33049930,18.00,SAM VITA-POCT,,NON SALEABLE PRODUCT,02/01/2026
497,LEGACY-XLS-73094,BREACT PROTEIN CHOCOLATE 400GM PWD,PHARMANOVA SPECIALTIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,621.99,621.99,473.90,23.81,0.00,21069099,5.00,BREACT PROTEIN CHOCOLATE 400GM PWD,,BRAND-RX,03/01/2026
498,LEGACY-XLS-73395,WEIGHING SCALE SW 02-SMITH WILLIAMS,TIANSHENG ELECTRONIC CO.LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1179.00,1179.00,601.69,48.97,0.00,84231000,18.00,WEIGHING SCALE SW 02-SMITH WILLIAMS,,OTX,20/01/2026
499,LEGACY-XLS-73450,TRAP H 5GM SACHET,BRISKINN SOLUTIONS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,40.00,40.00,31.74,20.65,0.00,21069099,5.00,TRAP H 5GM SACHET,FOLIC ACID-MYO INOSITOL-VITAMIN D3,OTX,23/01/2026
500,LEGACY-XLS-73561,NATXTRA ASHWAGANDHA BERRY BOOST GUMMIES,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1899.00,1899.00,1085.14,42.86,0.00,21069099,5.00,NATXTRA ASHWAGANDHA BERRY BOOST GUMMIES,,NATXTRA(TAG),30/01/2026
501,LEGACY-XLS-73562,NATXTRA PCOD BALANCE+ GUMMIES,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1899.00,1899.00,1085.14,42.86,0.00,21069099,5.00,NATXTRA PCOD BALANCE+ GUMMIES,,NATXTRA(TAG),30/01/2026
502,LEGACY-XLS-73563,NATXTRA VITAMIN C IMMUNITY PAAN GUMMIES,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1799.00,1799.00,1028.00,42.86,0.00,21069099,5.00,NATXTRA VITAMIN C IMMUNITY PAAN GUMMIES,,NATXTRA(TAG),30/01/2026
503,LEGACY-XLS-73578,PROTINEX ORIGINAL 200GM PWD,NUTRICIA INTERNATIONAL PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,390.00,390.00,329.33,15.56,0.00,21069099,5.00,PROTINEX ORIGINAL 200GM PWD,,PROTINEX(TAG),31/01/2026
504,LEGACY-XLS-73585,PROBIOTIC+ PREBIOTIC GUMMIES 30S-SWISSE ME,SWISSE WELLNESS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1099.00,1099.00,931.36,15.25,1.00,21069099,5.00,PROBIOTIC+ PREBIOTIC GUMMIES 30S-SWISSE ME,,SWISSE(TAG),31/01/2026
505,LEGACY-XLS-73586,STETHOSCOPE ADULT-MICROTONE,MICROTONE,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1750.00,1750.00,1170.00,33.14,0.00,90181100,5.00,STETHOSCOPE ADULT-MICROTONE,,OTC,31/01/2026
506,LEGACY-XLS-73591,BLOOD PRESSURE MONITOR DIGITAL-LEEFORD,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1700.00,1700.00,1031.00,39.35,0.00,90189011,5.00,BLOOD PRESSURE MONITOR DIGITAL-LEEFORD,,OTX,02/02/2026
507,LEGACY-XLS-73594,MAX PROTEIN MILLET WAFER WAFER STRAWBERRY TRUFFLE 40GM-RITE BITE,NATURELL INDIA PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,71.00,71.00,50.76,28.51,0.00,21069099,5.00,MAX PROTEIN MILLET WAFER WAFER STRAWBERRY TRUFFLE 40GM-RITE BITE,,RITE BITE(TAG),02/02/2026
508,LEGACY-XLS-73596,MAX PROTEIN MILLET WAFER COFFEE MOUSSE 40GM-RITE BITE,NATURELL INDIA PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,71.00,71.00,50.76,28.51,0.00,19053211,5.00,MAX PROTEIN MILLET WAFER COFFEE MOUSSE 40GM-RITE BITE,,RITE BITE(TAG),02/02/2026
509,LEGACY-XLS-73700,NATXTRA LIV X7 CAP,SYNTHIT INDUSTRIES PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,999.00,999.00,570.86,42.86,0.00,21069099,5.00,NATXTRA LIV X7 CAP,,NATXTRA(TAG),10/02/2026
510,LEGACY-XLS-73859,BLOOD PRESSURE MONITOR HEM 6161-OMRON,,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,2198.00,2198.00,1600.00,27.21,0.00,90189099,5.00,BLOOD PRESSURE MONITOR HEM 6161-OMRON,,OMRON(TAG),19/02/2026
